match_date,home_team_name,away_team_name,home_team_goal,away_team_goal,home_speed,home_aggression,away_speed,away_aggression,B365H,B365D,B365A,resultado
2008-08-17,Manchester United,Newcastle United,1,1,38,53.0,58,39.0,1.29,5.5,11.0,draw
2008-08-16,Arsenal,West Bromwich Albion,1,0,59,44.0,62,40.0,1.2,6.5,15.0,home_win
2008-08-16,Sunderland,Liverpool,0,1,43,45.0,66,52.0,5.5,3.6,1.67,away_win
2008-08-16,West Ham United,Wigan Athletic,2,1,77,37.0,51,48.0,1.91,3.4,4.2,home_win
2008-08-17,Aston Villa,Manchester City,4,2,63,44.0,59,47.0,1.91,3.4,4.33,home_win
2008-08-16,Everton,Blackburn Rovers,2,3,43,58.0,60,50.0,2.0,3.3,4.0,away_win
2008-08-16,Middlesbrough,Tottenham Hotspur,2,1,60,42.0,47,54.0,3.2,3.4,2.25,home_win
2008-08-16,Bolton Wanderers,Stoke City,3,1,57,48.0,48,37.0,1.83,3.5,4.5,home_win
2008-08-16,Hull City,Fulham,2,1,56,37.0,52,30.0,2.6,3.2,2.8,home_win
2008-08-17,Chelsea,Portsmouth,4,0,67,41.0,59,40.0,1.33,5.0,10.0,home_win
2008-10-29,Manchester United,West Ham United,2,0,38,53.0,77,37.0,1.2,6.0,19.0,home_win
2008-10-29,Arsenal,Tottenham Hotspur,4,4,59,44.0,47,54.0,1.44,4.5,7.5,draw
2008-10-29,Middlesbrough,Manchester City,2,0,60,42.0,59,47.0,2.88,3.3,2.5,home_win
2008-10-29,Bolton Wanderers,Everton,0,1,57,48.0,43,58.0,2.6,3.3,2.75,away_win
2008-10-29,Hull City,Chelsea,0,3,56,37.0,67,41.0,8.0,4.33,1.44,away_win
2008-10-29,Stoke City,Sunderland,1,0,48,37.0,43,45.0,2.6,3.3,2.75,home_win
2008-10-29,Liverpool,Portsmouth,1,0,66,52.0,59,40.0,1.33,5.0,10.0,home_win
2008-10-29,Aston Villa,Blackburn Rovers,3,2,63,44.0,60,50.0,1.67,3.75,5.5,home_win
2008-10-28,Newcastle United,West Bromwich Albion,2,1,58,39.0,62,40.0,1.83,3.5,4.5,home_win
2008-10-29,Fulham,Wigan Athletic,2,0,52,30.0,51,48.0,2.38,3.3,3.0,home_win
2008-11-01,Manchester United,Hull City,4,3,38,53.0,56,37.0,1.17,7.0,17.0,home_win
2008-11-01,Tottenham Hotspur,Liverpool,2,1,47,54.0,66,52.0,3.5,3.3,2.1,home_win
2008-11-01,Everton,Fulham,1,0,43,58.0,52,30.0,1.67,3.75,5.5,home_win
2008-11-01,Middlesbrough,West Ham United,1,1,60,42.0,77,37.0,2.0,3.3,4.0,draw
2008-11-03,Newcastle United,Aston Villa,2,0,58,39.0,63,44.0,3.0,3.3,2.38,home_win
2008-11-02,Bolton Wanderers,Manchester City,2,0,57,48.0,59,47.0,3.0,3.3,2.38,home_win
2008-11-01,West Bromwich Albion,Blackburn Rovers,2,2,62,40.0,60,50.0,2.5,3.3,2.88,draw
2008-11-01,Portsmouth,Wigan Athletic,1,2,59,40.0,51,48.0,1.91,3.4,4.2,away_win
2008-11-01,Stoke City,Arsenal,2,1,48,37.0,59,44.0,8.0,4.5,1.4,home_win
2008-11-01,Chelsea,Sunderland,5,0,67,41.0,43,45.0,1.17,6.5,21.0,home_win
2008-11-08,Arsenal,Manchester United,2,1,59,44.0,38,53.0,3.25,3.25,2.3,home_win
2008-11-08,Liverpool,West Bromwich Albion,3,0,66,52.0,62,40.0,1.2,6.0,19.0,home_win
2008-11-08,Sunderland,Portsmouth,1,2,43,45.0,59,40.0,2.38,3.3,3.0,away_win
2008-11-08,West Ham United,Everton,1,3,77,37.0,43,58.0,2.6,3.25,2.8,away_win
2008-11-09,Aston Villa,Middlesbrough,1,2,63,44.0,60,42.0,1.7,3.8,5.0,away_win
2008-11-09,Manchester City,Tottenham Hotspur,1,2,59,47.0,47,54.0,2.25,3.3,3.3,away_win
2008-11-09,Blackburn Rovers,Chelsea,0,2,60,50.0,67,41.0,8.0,4.33,1.44,away_win
2008-11-09,Fulham,Newcastle United,2,1,52,30.0,58,39.0,2.38,3.25,3.1,home_win
2008-11-08,Hull City,Bolton Wanderers,0,1,56,37.0,57,48.0,2.25,3.25,3.4,away_win
2008-11-08,Wigan Athletic,Stoke City,0,0,51,48.0,48,37.0,1.8,3.4,5.0,draw
2008-11-15,Manchester United,Stoke City,5,0,38,53.0,48,37.0,1.14,7.5,23.0,home_win
2008-11-15,Arsenal,Aston Villa,0,2,59,44.0,63,44.0,1.5,4.0,7.0,away_win
2008-11-15,West Ham United,Portsmouth,0,0,77,37.0,59,40.0,2.5,3.25,2.88,draw
2008-11-16,Everton,Middlesbrough,1,1,43,58.0,60,42.0,1.83,3.5,4.5,draw
2008-11-15,Newcastle United,Wigan Athletic,2,2,58,39.0,51,48.0,2.1,3.3,3.6,draw
2008-11-15,Blackburn Rovers,Sunderland,1,2,60,50.0,43,45.0,2.0,3.4,3.8,away_win
2008-11-15,Fulham,Tottenham Hotspur,2,1,52,30.0,47,54.0,3.3,3.3,2.25,home_win
2008-11-15,Bolton Wanderers,Liverpool,0,2,57,48.0,66,52.0,6.0,3.75,1.62,away_win
2008-11-15,West Bromwich Albion,Chelsea,0,3,62,40.0,67,41.0,12.0,5.0,1.3,away_win
2008-11-16,Hull City,Manchester City,2,2,56,37.0,59,47.0,2.88,3.25,2.5,draw
2008-11-22,Liverpool,Fulham,0,0,66,52.0,52,30.0,1.25,5.5,15.0,draw
2008-11-23,Sunderland,West Ham United,0,1,43,45.0,77,37.0,2.1,3.4,3.5,away_win
2008-11-23,Tottenham Hotspur,Blackburn Rovers,1,0,47,54.0,60,50.0,1.73,3.75,4.75,home_win
2008-11-22,Aston Villa,Manchester United,0,0,63,44.0,38,53.0,5.0,3.6,1.73,draw
2008-11-22,Middlesbrough,Bolton Wanderers,1,3,60,42.0,57,48.0,1.91,3.4,4.33,away_win
2008-11-22,Manchester City,Arsenal,3,0,59,47.0,59,44.0,3.25,3.4,2.2,home_win
2008-11-22,Portsmouth,Hull City,2,2,59,40.0,56,37.0,1.8,3.6,4.5,draw
2008-11-22,Stoke City,West Bromwich Albion,1,0,48,37.0,62,40.0,2.2,3.3,3.4,home_win
2008-11-24,Wigan Athletic,Everton,1,0,51,48.0,43,58.0,2.5,3.3,2.88,home_win
2008-11-22,Chelsea,Newcastle United,0,0,67,41.0,58,39.0,1.2,6.0,19.0,draw
2008-12-01,Liverpool,West Ham United,0,0,66,52.0,77,37.0,1.3,5.0,12.0,draw
2008-11-29,Sunderland,Bolton Wanderers,1,4,43,45.0,57,48.0,2.25,3.3,3.3,away_win
2008-11-30,Tottenham Hotspur,Everton,0,1,47,54.0,43,58.0,1.91,3.5,4.0,away_win
2008-11-29,Aston Villa,Fulham,0,0,63,44.0,52,30.0,1.57,3.8,6.5,draw
2008-11-29,Middlesbrough,Newcastle United,0,0,60,42.0,58,39.0,2.2,3.3,3.4,draw
2008-11-30,Manchester City,Manchester United,0,1,59,47.0,38,53.0,4.33,3.6,1.83,away_win
2008-11-30,Portsmouth,Blackburn Rovers,3,2,59,40.0,60,50.0,2.1,3.3,3.6,home_win
2008-11-29,Stoke City,Hull City,1,1,48,37.0,56,37.0,2.4,3.4,2.88,draw
2008-11-29,Wigan Athletic,West Bromwich Albion,2,1,51,48.0,62,40.0,1.73,3.6,5.0,home_win
2008-11-30,Chelsea,Arsenal,1,2,67,41.0,59,44.0,1.8,3.4,5.0,away_win
2008-12-06,Manchester United,Sunderland,1,0,38,53.0,43,45.0,1.14,7.5,23.0,home_win
2008-12-06,Arsenal,Wigan Athletic,1,0,59,44.0,51,48.0,1.33,4.75,11.0,home_win
2008-12-08,West Ham United,Tottenham Hotspur,0,2,77,37.0,47,54.0,2.75,3.25,2.62,away_win
2008-12-07,Everton,Aston Villa,2,3,43,58.0,63,44.0,2.62,3.25,2.75,away_win
2008-12-06,Newcastle United,Stoke City,2,2,58,39.0,48,37.0,1.8,3.5,4.75,draw
2008-12-06,Blackburn Rovers,Liverpool,1,3,60,50.0,66,52.0,5.5,3.5,1.73,away_win
2008-12-06,Fulham,Manchester City,1,1,52,30.0,59,47.0,2.6,3.2,2.8,draw
2008-12-06,Bolton Wanderers,Chelsea,0,2,57,48.0,67,41.0,7.0,3.8,1.53,away_win
