match_date,home_team_name,away_team_name,home_team_goal,away_team_goal,home_speed,home_aggression,away_speed,away_aggression,B365H,B365D,B365A,resultado
2016-08-26,Bayern Munich,Werder Bremen,6,0,95,0.0,75,1.0,2.56,4.33,2.92,home_win
2016-08-27,Augsburg,Wolfsburg,0,2,75,1.0,80,2.0,4.81,3.08,4.05,away_win
2016-08-27,Hamburger SV,Ingolstadt,1,1,75,2.0,40,2.0,3.95,3.44,2.23,draw
2016-08-27,Eintracht Frankfurt,Schalke 04,1,0,80,5.0,75,2.0,3.43,4.28,6.6,home_win
2016-08-27,FC Cologne,Darmstadt,2,0,65,3.0,50,3.0,1.71,3.92,6.27,home_win
2016-08-27,Borussia Dortmund,Mainz 05,2,1,95,0.0,100,3.0,1.71,2.62,5.39,home_win
2016-08-27,Borussia M.Gladbach,Bayer Leverkusen,2,1,90,3.0,90,3.0,1.33,2.79,2.08,home_win
2016-08-28,Hertha Berlin,Freiburg,2,1,65,0.0,90,3.0,4.48,2.52,5.77,home_win
2016-08-28,Hoffenheim,RasenBallsport Leipzig,2,2,90,2.0,80,4.0,3.44,3.76,5.94,draw
2016-09-09,Schalke 04,Bayern Munich,0,2,60,2.0,100,4.0,3.86,3.4,5.72,away_win
2016-09-10,Wolfsburg,FC Cologne,0,0,100,2.0,70,3.0,1.18,2.77,2.13,draw
2016-09-10,Ingolstadt,Hertha Berlin,0,2,25,3.0,60,1.0,4.88,4.42,5.04,away_win
2016-09-10,Darmstadt,Eintracht Frankfurt,1,0,35,1.0,90,2.0,4.35,3.56,6.09,home_win
2016-09-10,Freiburg,Borussia M.Gladbach,3,1,90,2.0,90,2.0,1.93,2.98,4.68,home_win
2016-09-10,Bayer Leverkusen,Hamburger SV,3,1,90,2.0,75,1.0,1.81,3.5,5.06,home_win
2016-09-10,RasenBallsport Leipzig,Borussia Dortmund,1,0,85,2.0,100,2.0,1.82,3.86,4.02,home_win
2016-09-11,Werder Bremen,Augsburg,1,2,70,2.0,60,3.0,2.29,2.65,4.41,away_win
2016-09-11,Mainz 05,Hoffenheim,4,4,95,4.0,95,3.0,3.15,3.05,1.69,draw
2016-09-16,FC Cologne,Freiburg,3,0,65,1.0,100,1.0,2.78,4.11,5.01,home_win
2016-09-17,Hamburger SV,RasenBallsport Leipzig,0,4,60,5.0,80,1.0,2.24,3.42,1.95,away_win
2016-09-17,Hoffenheim,Wolfsburg,0,0,90,2.0,90,1.0,3.49,3.59,3.89,draw
2016-09-17,Eintracht Frankfurt,Bayer Leverkusen,2,1,85,3.0,90,0.0,1.64,3.37,3.11,home_win
2016-09-17,Bayern Munich,Ingolstadt,3,1,85,1.0,45,2.0,2.24,2.59,4.5,home_win
2016-09-17,Borussia Dortmund,Darmstadt,6,0,80,0.0,30,7.0,2.53,2.83,2.23,home_win
2016-09-17,Borussia M.Gladbach,Werder Bremen,4,1,100,0.0,65,6.0,2.88,3.39,5.3,home_win
2016-09-18,Augsburg,Mainz 05,1,3,70,1.0,80,5.0,4.16,2.92,5.87,away_win
2016-09-18,Hertha Berlin,Schalke 04,2,0,65,1.0,60,1.0,1.88,2.6,2.4,home_win
2016-09-20,Wolfsburg,Borussia Dortmund,1,5,85,2.0,95,0.0,3.11,4.19,2.07,away_win
2016-09-20,Ingolstadt,Eintracht Frankfurt,0,2,30,0.0,85,1.0,3.41,4.46,2.3,away_win
2016-09-20,Darmstadt,Hoffenheim,1,1,55,1.0,100,1.0,1.28,4.09,6.32,draw
2016-09-20,Freiburg,Hamburger SV,1,0,100,1.0,65,0.0,3.47,4.21,4.41,home_win
2016-09-21,RasenBallsport Leipzig,Borussia M.Gladbach,1,1,85,1.0,80,2.0,1.77,2.98,4.07,draw
2016-09-21,Werder Bremen,Mainz 05,1,2,70,2.0,85,2.0,1.35,4.42,2.09,away_win
2016-09-21,Bayern Munich,Hertha Berlin,3,0,80,1.0,65,0.0,4.8,2.89,5.07,home_win
2016-09-21,Bayer Leverkusen,Augsburg,0,0,90,0.0,70,2.0,4.87,4.4,6.27,draw
2016-09-21,Schalke 04,FC Cologne,1,3,70,2.0,60,1.0,4.25,4.49,6.06,away_win
2016-09-23,Borussia Dortmund,Freiburg,3,1,80,2.0,95,3.0,2.29,3.92,4.94,home_win
2016-09-24,Borussia M.Gladbach,Ingolstadt,2,0,100,2.0,25,3.0,1.48,4.46,1.91,home_win
2016-09-24,Mainz 05,Bayer Leverkusen,2,3,100,3.0,90,2.0,3.77,3.64,2.12,away_win
2016-09-24,Hamburger SV,Bayern Munich,0,1,70,2.0,85,3.0,2.82,3.02,1.77,away_win
2016-09-24,Augsburg,Darmstadt,1,0,60,2.0,40,4.0,1.58,3.37,2.92,home_win
2016-09-24,Eintracht Frankfurt,Hertha Berlin,3,3,95,4.0,60,2.0,3.03,3.69,2.25,draw
2016-09-24,Werder Bremen,Wolfsburg,2,1,65,1.0,100,3.0,1.23,2.65,2.93,home_win
2016-09-25,Hoffenheim,Schalke 04,2,1,90,1.0,75,1.0,4.65,3.74,3.62,home_win
2016-09-25,FC Cologne,RasenBallsport Leipzig,1,1,70,1.0,90,2.0,2.11,4.46,6.69,draw
2016-09-30,RasenBallsport Leipzig,Augsburg,2,1,95,0.0,60,3.0,3.68,2.88,4.86,home_win
2016-10-01,Bayern Munich,FC Cologne,1,1,100,1.0,65,2.0,2.32,4.09,6.09,draw
2016-10-01,Hertha Berlin,Hamburger SV,2,0,70,2.0,70,6.0,3.13,4.32,5.41,home_win
2016-10-01,Ingolstadt,Hoffenheim,1,2,30,1.0,85,2.0,3.23,4.39,2.12,away_win
2016-10-01,Darmstadt,Werder Bremen,2,2,55,2.0,75,1.0,1.82,4.42,5.55,draw
2016-10-01,Freiburg,Eintracht Frankfurt,1,0,95,4.0,80,3.0,4.88,3.54,3.01,home_win
2016-10-01,Bayer Leverkusen,Borussia Dortmund,2,0,100,5.0,95,1.0,4.12,4.45,5.02,home_win
2016-10-02,Wolfsburg,Mainz 05,0,0,85,0.0,95,0.0,4.76,4.01,3.38,draw
2016-10-02,Schalke 04,Borussia M.Gladbach,4,0,65,0.0,95,0.0,4.59,2.82,6.99,home_win
2016-10-14,Borussia Dortmund,Hertha Berlin,1,1,80,4.0,75,8.0,3.43,3.45,2.95,draw
2016-10-15,Borussia M.Gladbach,Hamburger SV,0,0,85,2.0,65,7.0,4.7,3.94,3.04,draw
2016-10-15,FC Cologne,Ingolstadt,2,1,75,3.0,50,3.0,1.45,2.99,6.62,home_win
2016-10-15,Augsburg,Schalke 04,1,1,75,2.0,60,3.0,1.86,3.78,1.64,draw
2016-10-15,Hoffenheim,Freiburg,2,1,85,2.0,85,3.0,1.28,3.83,5.33,home_win
