match_date,home_team_name,away_team_name,home_team_goal,away_team_goal,home_speed,home_aggression,away_speed,away_aggression,B365H,B365D,B365A,resultado
2016-08-12,SC Bastia,Paris Saint Germain,0,1,25,3.0,100,3.0,2.56,3.02,5.08,away_win
2016-08-12,Monaco,Guingamp,2,2,100,3.0,75,4.0,4.81,2.82,6.03,draw
2016-08-13,Bordeaux,Saint-Etienne,3,2,60,1.0,70,2.0,3.95,2.82,3.8,home_win
2016-08-13,Montpellier,Angers,1,0,100,1.0,70,2.0,3.43,2.64,1.9,home_win
2016-08-13,Caen,Lorient,3,2,55,1.0,60,5.0,1.71,2.87,3.01,home_win
2016-08-13,Metz,Lille,3,2,60,2.0,90,2.0,1.71,3.83,6.89,home_win
2016-08-13,Dijon,Nantes,0,1,65,0.0,85,2.0,1.33,4.26,4.78,away_win
2016-08-14,Nancy,Lyon,0,3,20,4.0,80,2.0,4.48,4.13,5.4,away_win
2016-08-14,Nice,Rennes,1,0,85,0.0,85,1.0,3.44,3.87,1.54,home_win
2016-08-14,Marseille,Toulouse,0,0,95,3.0,65,1.0,3.86,2.72,4.35,draw
2016-08-19,Lyon,Caen,2,0,90,3.0,50,4.0,1.18,3.08,1.71,home_win
2016-08-20,Nantes,Monaco,0,1,85,2.0,100,4.0,4.88,3.12,4.63,away_win
2016-08-20,Toulouse,Bordeaux,4,1,75,1.0,60,6.0,4.35,3.0,6.56,home_win
2016-08-20,Angers,Nice,0,1,65,1.0,100,2.0,1.93,3.53,6.83,away_win
2016-08-20,Rennes,Nancy,2,0,80,4.0,30,2.0,1.81,3.57,4.47,home_win
2016-08-20,Lorient,SC Bastia,0,3,60,8.0,30,4.0,1.82,3.21,4.02,away_win
2016-08-20,Lille,Dijon,1,0,80,1.0,70,2.0,2.29,3.21,6.7,home_win
2016-08-21,Guingamp,Marseille,2,1,70,0.0,80,1.0,3.15,4.16,5.2,home_win
2016-08-21,Saint-Etienne,Montpellier,3,1,65,1.0,90,1.0,2.78,4.08,1.86,home_win
2016-08-21,Paris Saint Germain,Metz,3,0,85,1.0,60,1.0,2.24,3.12,4.06,home_win
2016-08-26,Marseille,Lorient,2,0,85,1.0,65,1.0,3.49,4.33,2.82,home_win
2016-08-27,Dijon,Lyon,4,2,65,2.0,80,2.0,1.64,4.41,4.08,home_win
2016-08-27,Caen,SC Bastia,2,0,40,1.0,20,5.0,2.24,3.15,4.01,home_win
2016-08-27,Metz,Angers,2,0,60,2.0,75,2.0,2.53,3.21,4.7,home_win
2016-08-27,Nancy,Guingamp,0,2,45,2.0,75,1.0,2.88,3.51,3.46,away_win
2016-08-27,Montpellier,Rennes,1,1,80,1.0,100,2.0,4.16,4.38,2.4,draw
2016-08-27,Nice,Lille,1,1,100,2.0,90,2.0,1.88,4.25,4.27,draw
2016-08-28,Bordeaux,Nantes,1,0,70,2.0,95,1.0,3.11,2.71,6.07,home_win
2016-08-28,Saint-Etienne,Toulouse,0,0,70,2.0,75,1.0,3.41,3.29,5.15,draw
2016-08-28,Monaco,Paris Saint Germain,3,1,85,1.0,95,2.0,1.28,3.61,3.36,home_win
2016-09-09,Paris Saint Germain,Saint-Etienne,1,1,85,2.0,60,4.0,3.47,3.51,6.65,draw
2016-09-10,Lyon,Bordeaux,1,3,100,5.0,65,1.0,1.77,2.89,6.52,away_win
2016-09-10,SC Bastia,Toulouse,2,1,35,4.0,65,4.0,1.35,4.22,2.65,home_win
2016-09-10,Angers,Dijon,3,1,65,4.0,65,5.0,4.8,3.85,1.72,home_win
2016-09-10,Lorient,Nancy,0,2,70,0.0,25,5.0,4.87,4.18,5.58,away_win
2016-09-10,Lille,Monaco,1,4,80,3.0,85,1.0,4.25,4.22,6.05,away_win
2016-09-10,Guingamp,Montpellier,1,1,70,1.0,85,1.0,2.29,4.0,6.82,draw
2016-09-11,Nantes,Metz,0,3,80,1.0,60,4.0,1.48,3.38,6.39,away_win
2016-09-11,Rennes,Caen,2,0,80,2.0,50,1.0,3.77,3.72,4.8,home_win
2016-09-11,Nice,Marseille,3,2,80,2.0,90,3.0,2.82,2.82,4.42,home_win
2016-09-16,Caen,Paris Saint Germain,0,6,55,1.0,85,1.0,1.58,3.85,1.65,away_win
2016-09-17,Monaco,Rennes,3,0,100,1.0,95,1.0,3.03,2.86,2.86,home_win
2016-09-17,Nancy,Nantes,1,1,55,0.0,80,0.0,1.23,3.89,4.03,draw
2016-09-17,Dijon,Metz,0,0,70,4.0,65,6.0,4.65,2.96,4.96,draw
2016-09-17,Toulouse,Guingamp,2,1,60,4.0,65,6.0,2.11,2.74,4.56,home_win
2016-09-17,Lorient,Lille,1,0,65,2.0,90,2.0,3.68,2.83,5.58,home_win
2016-09-17,Bordeaux,Angers,0,1,60,3.0,70,4.0,2.32,2.5,3.04,away_win
2016-09-18,Montpellier,Nice,1,1,85,1.0,80,1.0,3.13,3.94,4.61,draw
2016-09-18,Saint-Etienne,SC Bastia,1,0,60,2.0,35,4.0,3.23,3.96,1.98,home_win
2016-09-18,Marseille,Lyon,0,0,100,3.0,100,2.0,1.82,3.53,3.78,draw
2016-09-20,Lille,Toulouse,1,2,80,2.0,65,5.0,4.88,2.82,5.63,away_win
2016-09-20,Paris Saint Germain,Dijon,3,0,85,1.0,75,0.0,4.12,2.67,5.31,home_win
2016-09-21,SC Bastia,Nancy,0,0,25,0.0,50,0.0,4.76,2.54,6.95,draw
2016-09-21,Angers,Caen,2,1,65,0.0,45,1.0,4.59,2.83,3.03,home_win
2016-09-21,Nantes,Saint-Etienne,0,0,85,4.0,70,3.0,3.43,4.28,4.24,draw
2016-09-21,Guingamp,Lorient,1,0,70,1.0,70,3.0,4.7,2.98,3.31,home_win
2016-09-21,Metz,Bordeaux,0,3,60,2.0,60,0.0,1.45,3.21,3.92,away_win
2016-09-21,Nice,Monaco,4,0,85,1.0,95,4.0,1.86,2.71,6.21,home_win
2016-09-21,Lyon,Montpellier,5,1,90,0.0,95,4.0,1.28,2.94,5.26,home_win
2016-09-21,Rennes,Marseille,3,2,90,1.0,100,4.0,2.37,3.54,6.35,home_win
2016-09-23,Toulouse,Paris Saint Germain,2,0,60,3.0,90,5.0,2.62,3.72,2.62,home_win
2016-09-24,Lorient,Lyon,1,0,75,2.0,80,1.0,2.16,2.99,6.3,home_win
2016-09-24,Bordeaux,Caen,0,0,60,0.0,35,2.0,4.33,2.62,1.83,draw
2016-09-24,Montpellier,Metz,0,1,100,2.0,65,3.0,2.49,3.28,6.39,away_win
