match_date,home_team_name,away_team_name,home_team_goal,away_team_goal,home_speed,home_aggression,away_speed,away_aggression,B365H,B365D,B365A,resultado
2016-08-12,SC Bastia,Paris Saint-Germain,0,1,25,3.0,100,3.0,2.56,3.02,5.08,away_win
2016-08-12,AS Monaco,En Avant de Guingamp,2,2,100,3.0,75,4.0,4.81,2.82,6.03,draw
2016-08-13,Girondins de Bordeaux,AS Saint-Étienne,3,2,60,1.0,70,2.0,3.95,2.82,3.8,home_win
2016-08-13,Montpellier Hérault SC,Rangers,1,0,100,1.0,70,2.0,3.43,2.64,1.9,home_win
2016-08-13,SM Caen,FC Lorient,3,2,55,1.0,60,5.0,1.71,2.87,3.01,home_win
2016-08-13,FC Metz,LOSC Lille,3,2,60,2.0,90,2.0,1.71,3.83,6.89,home_win
2016-08-13,Dijon FCO,FC Nantes,0,1,65,0.0,85,2.0,1.33,4.26,4.78,away_win
2016-08-14,AS Nancy-Lorraine,Olympique Lyonnais,0,3,20,4.0,80,2.0,4.48,4.13,5.4,away_win
2016-08-14,OGC Nice,Rennes,1,0,85,0.0,85,1.0,3.44,3.87,1.54,home_win
2016-08-14,Olympique de Marseille,Toulouse FC,0,0,95,3.0,65,1.0,3.86,2.72,4.35,draw
2016-08-19,Olympique Lyonnais,SM Caen,2,0,90,3.0,50,4.0,1.18,3.08,1.71,home_win
2016-08-20,FC Nantes,AS Monaco,0,1,85,2.0,100,4.0,4.88,3.12,4.63,away_win
2016-08-20,Toulouse FC,Girondins de Bordeaux,4,1,75,1.0,60,6.0,4.35,3.0,6.56,home_win
2016-08-20,Rangers,OGC Nice,0,1,65,1.0,100,2.0,1.93,3.53,6.83,away_win
2016-08-20,Rennes,AS Nancy-Lorraine,2,0,80,4.0,30,2.0,1.81,3.57,4.47,home_win
2016-08-20,FC Lorient,SC Bastia,0,3,60,8.0,30,4.0,1.82,3.21,4.02,away_win
2016-08-20,LOSC Lille,Dijon FCO,1,0,80,1.0,70,2.0,2.29,3.21,6.7,home_win
2016-08-21,En Avant de Guingamp,Olympique de Marseille,2,1,70,0.0,80,1.0,3.15,4.16,5.2,home_win
2016-08-21,AS Saint-Étienne,Montpellier Hérault SC,3,1,65,1.0,90,1.0,2.78,4.08,1.86,home_win
2016-08-21,Paris Saint-Germain,FC Metz,3,0,85,1.0,60,1.0,2.24,3.12,4.06,home_win
2016-08-26,Olympique de Marseille,FC Lorient,2,0,85,1.0,65,1.0,3.49,4.33,2.82,home_win
2016-08-27,Dijon FCO,Olympique Lyonnais,4,2,65,2.0,80,2.0,1.64,4.41,4.08,home_win
2016-08-27,SM Caen,SC Bastia,2,0,40,1.0,20,5.0,2.24,3.15,4.01,home_win
2016-08-27,FC Metz,Rangers,2,0,60,2.0,75,2.0,2.53,3.21,4.7,home_win
2016-08-27,AS Nancy-Lorraine,En Avant de Guingamp,0,2,45,2.0,75,1.0,2.88,3.51,3.46,away_win
2016-08-27,Montpellier Hérault SC,Rennes,1,1,80,1.0,100,2.0,4.16,4.38,2.4,draw
2016-08-27,OGC Nice,LOSC Lille,1,1,100,2.0,90,2.0,1.88,4.25,4.27,draw
2016-08-28,Girondins de Bordeaux,FC Nantes,1,0,70,2.0,95,1.0,3.11,2.71,6.07,home_win
2016-08-28,AS Saint-Étienne,Toulouse FC,0,0,70,2.0,75,1.0,3.41,3.29,5.15,draw
2016-08-28,AS Monaco,Paris Saint-Germain,3,1,85,1.0,95,2.0,1.28,3.61,3.36,home_win
2016-09-09,Paris Saint-Germain,AS Saint-Étienne,1,1,85,2.0,60,4.0,3.47,3.51,6.65,draw
2016-09-10,Olympique Lyonnais,Girondins de Bordeaux,1,3,100,5.0,65,1.0,1.77,2.89,6.52,away_win
2016-09-10,SC Bastia,Toulouse FC,2,1,35,4.0,65,4.0,1.35,4.22,2.65,home_win
2016-09-10,Rangers,Dijon FCO,3,1,65,4.0,65,5.0,4.8,3.85,1.72,home_win
2016-09-10,FC Lorient,AS Nancy-Lorraine,0,2,70,0.0,25,5.0,4.87,4.18,5.58,away_win
2016-09-10,LOSC Lille,AS Monaco,1,4,80,3.0,85,1.0,4.25,4.22,6.05,away_win
2016-09-10,En Avant de Guingamp,Montpellier Hérault SC,1,1,70,1.0,85,1.0,2.29,4.0,6.82,draw
2016-09-11,FC Nantes,FC Metz,0,3,80,1.0,60,4.0,1.48,3.38,6.39,away_win
2016-09-11,Rennes,SM Caen,2,0,80,2.0,50,1.0,3.77,3.72,4.8,home_win
2016-09-11,OGC Nice,Olympique de Marseille,3,2,80,2.0,90,3.0,2.82,2.82,4.42,home_win
2016-09-16,SM Caen,Paris Saint-Germain,0,6,55,1.0,85,1.0,1.58,3.85,1.65,away_win
2016-09-17,AS Monaco,Rennes,3,0,100,1.0,95,1.0,3.03,2.86,2.86,home_win
2016-09-17,AS Nancy-Lorraine,FC Nantes,1,1,55,0.0,80,0.0,1.23,3.89,4.03,draw
2016-09-17,Dijon FCO,FC Metz,0,0,70,4.0,65,6.0,4.65,2.96,4.96,draw
2016-09-17,Toulouse FC,En Avant de Guingamp,2,1,60,4.0,65,6.0,2.11,2.74,4.56,home_win
2016-09-17,FC Lorient,LOSC Lille,1,0,65,2.0,90,2.0,3.68,2.83,5.58,home_win
2016-09-17,Girondins de Bordeaux,Rangers,0,1,60,3.0,70,4.0,2.32,2.5,3.04,away_win
2016-09-18,Montpellier Hérault SC,OGC Nice,1,1,85,1.0,80,1.0,3.13,3.94,4.61,draw
2016-09-18,AS Saint-Étienne,SC Bastia,1,0,60,2.0,35,4.0,3.23,3.96,1.98,home_win
2016-09-18,Olympique de Marseille,Olympique Lyonnais,0,0,100,3.0,100,2.0,1.82,3.53,3.78,draw
2016-09-20,LOSC Lille,Toulouse FC,1,2,80,2.0,65,5.0,4.88,2.82,5.63,away_win
2016-09-20,Paris Saint-Germain,Dijon FCO,3,0,85,1.0,75,0.0,4.12,2.67,5.31,home_win
2016-09-21,SC Bastia,AS Nancy-Lorraine,0,0,25,0.0,50,0.0,4.76,2.54,6.95,draw
2016-09-21,Rangers,SM Caen,2,1,65,0.0,45,1.0,4.59,2.83,3.03,home_win
2016-09-21,FC Nantes,AS Saint-Étienne,0,0,85,4.0,70,3.0,3.43,4.28,4.24,draw
2016-09-21,En Avant de Guingamp,FC Lorient,1,0,70,1.0,70,3.0,4.7,2.98,3.31,home_win
2016-09-21,FC Metz,Girondins de Bordeaux,0,3,60,2.0,60,0.0,1.45,3.21,3.92,away_win
2016-09-21,OGC Nice,AS Monaco,4,0,85,1.0,95,4.0,1.86,2.71,6.21,home_win
2016-09-21,Olympique Lyonnais,Montpellier Hérault SC,5,1,90,0.0,95,4.0,1.28,2.94,5.26,home_win
2016-09-21,Rennes,Olympique de Marseille,3,2,90,1.0,100,4.0,2.37,3.54,6.35,home_win
2016-09-23,Toulouse FC,Paris Saint-Germain,2,0,60,3.0,90,5.0,2.62,3.72,2.62,home_win
2016-09-24,FC Lorient,Olympique Lyonnais,1,0,75,2.0,80,1.0,2.16,2.99,6.3,home_win
2016-09-24,Girondins de Bordeaux,SM Caen,0,0,60,0.0,35,2.0,4.33,2.62,1.83,draw
2016-09-24,Montpellier Hérault SC,FC Metz,0,1,100,2.0,65,3.0,2.49,3.28,6.39,away_win
2016-09-24,Dijon FCO,Rennes,3,0,75,1.0,95,1.0,2.2,2.97,3.31,home_win
2016-09-24,SC Bastia,En Avant de Guingamp,1,0,35,4.0,70,4.0,3.22,2.94,3.23,home_win
2016-09-24,AS Monaco,Rangers,2,1,80,1.0,75,1.0,1.65,4.42,4.32,home_win
2016-09-25,AS Saint-Étienne,LOSC Lille,3,1,60,3.0,95,4.0,4.23,3.73,6.67,home_win
2016-09-25,AS Nancy-Lorraine,OGC Nice,0,1,20,3.0,90,1.0,1.39,3.61,1.76,away_win
2016-09-25,Olympique de Marseille,FC Nantes,2,1,90,1.0,85,3.0,4.95,3.33,3.44,home_win
2016-09-30,Rennes,En Avant de Guingamp,1,0,85,2.0,70,4.0,4.11,3.36,6.21,home_win
2016-10-01,Paris Saint-Germain,Girondins de Bordeaux,2,0,80,1.0,75,1.0,1.87,3.58,3.68,home_win
2016-10-01,Dijon FCO,Montpellier Hérault SC,3,3,70,2.0,80,2.0,1.12,3.89,2.6,draw
2016-10-01,LOSC Lille,AS Nancy-Lorraine,1,0,85,2.0,45,3.0,4.28,3.9,3.84,home_win
2016-10-01,FC Nantes,SC Bastia,1,0,80,4.0,50,3.0,3.86,2.84,3.62,home_win
2016-10-01,SM Caen,Toulouse FC,1,0,30,1.0,65,6.0,3.94,3.5,6.53,home_win
2016-10-01,FC Metz,AS Monaco,0,7,65,5.0,85,1.0,4.11,3.32,5.69,away_win
2016-10-02,Rangers,Olympique de Marseille,1,1,60,1.0,100,0.0,1.39,4.24,4.28,draw
2016-10-02,OGC Nice,FC Lorient,2,1,100,5.0,60,3.0,2.5,3.76,6.94,home_win
2016-10-02,Olympique Lyonnais,AS Saint-Étienne,2,0,95,3.0,60,1.0,1.55,3.57,4.06,home_win
2016-10-14,Toulouse FC,AS Monaco,3,1,75,2.0,95,1.0,4.47,2.73,1.82,home_win
2016-10-14,OGC Nice,Olympique Lyonnais,2,0,80,3.0,90,6.0,3.53,3.71,2.94,home_win
2016-10-15,AS Nancy-Lorraine,Paris Saint-Germain,1,2,50,1.0,95,1.0,2.39,2.73,3.9,away_win
2016-10-15,FC Lorient,FC Nantes,1,2,75,4.0,95,4.0,1.35,3.17,2.36,away_win
2016-10-15,Montpellier Hérault SC,SM Caen,3,2,95,3.0,40,0.0,2.31,2.79,6.71,home_win
2016-10-15,SC Bastia,Rangers,1,2,55,2.0,75,0.0,2.37,3.88,5.72,away_win
2016-10-15,En Avant de Guingamp,LOSC Lille,1,0,70,1.0,80,0.0,3.95,2.91,2.98,home_win
2016-10-16,Rennes,Girondins de Bordeaux,1,1,90,1.0,70,2.0,3.59,3.28,4.75,draw
2016-10-16,AS Saint-Étienne,Dijon FCO,1,1,65,1.0,60,6.0,4.56,4.29,5.47,draw
2016-10-16,Olympique de Marseille,FC Metz,1,0,95,1.0,65,2.0,2.94,2.91,6.68,home_win
2016-10-21,AS Monaco,Montpellier Hérault SC,6,2,90,2.0,95,0.0,1.57,3.52,6.35,home_win
2016-10-22,Olympique Lyonnais,En Avant de Guingamp,1,3,80,1.0,65,3.0,3.88,3.34,4.33,away_win
