match_date,home_team_name,away_team_name,home_team_goal,away_team_goal,home_speed,home_aggression,away_speed,away_aggression,B365H,B365D,B365A,resultado
2016-08-20,Roma,Udinese,4,0,80,0,90,2,2.56,4.03,6.53,home_win
2016-08-20,Juventus,Fiorentina,2,1,95,1,80,3,4.81,3.75,2.42,home_win
2016-08-21,AC Milan,Torino,3,2,100,3,90,3,3.95,4.02,2.17,home_win
2016-08-21,Palermo,Sassuolo,0,1,55,4,95,2,3.43,2.58,1.97,away_win
2016-08-21,Pescara,Napoli,2,2,50,3,80,2,1.71,4.17,6.5,draw
2016-08-21,Atalanta,Lazio,3,4,100,2,80,2,1.71,3.74,2.56,away_win
2016-08-21,Bologna,Crotone,1,0,100,1,70,1,1.33,3.63,3.79,home_win
2016-08-21,Chievo,Inter,2,0,70,2,85,4,4.48,3.75,3.97,home_win
2016-08-21,Empoli,Sampdoria,0,1,65,5,65,4,3.44,4.23,4.79,away_win
2016-08-21,Genoa,Cagliari,3,1,70,4,75,3,3.86,3.67,1.89,home_win
2016-08-27,Lazio,Juventus,0,1,85,1,95,2,1.18,3.66,2.75,away_win
2016-08-27,Napoli,AC Milan,4,2,95,5,95,10,4.88,4.48,6.62,home_win
2016-08-28,Inter,Palermo,1,1,85,1,35,5,4.35,4.01,6.5,draw
2016-08-28,Sampdoria,Atalanta,2,1,75,1,100,7,1.93,3.38,5.8,home_win
2016-08-28,Sassuolo,Pescara,2,1,95,2,25,2,1.81,3.91,1.61,home_win
2016-08-28,Torino,Bologna,5,1,80,1,85,2,1.82,3.28,3.3,home_win
2016-08-28,Udinese,Empoli,2,0,100,3,75,6,2.29,2.96,4.95,home_win
2016-08-28,Cagliari,Roma,2,2,60,3,80,1,3.15,3.69,3.01,draw
2016-08-28,Crotone,Genoa,1,3,75,2,65,2,2.78,4.36,6.5,away_win
2016-08-28,Fiorentina,Chievo,1,0,85,0,60,2,2.24,4.36,4.99,home_win
2016-09-10,Juventus,Sassuolo,3,1,85,1,80,2,3.49,3.18,1.9,home_win
2016-09-10,Palermo,Napoli,0,3,30,0,100,0,1.64,3.56,6.5,away_win
2016-09-11,Bologna,Cagliari,2,1,100,1,70,6,2.24,2.92,6.77,home_win
2016-09-11,Chievo,Lazio,1,1,60,2,85,5,2.53,4.49,1.93,draw
2016-09-11,AC Milan,Udinese,0,1,85,1,85,5,2.88,4.46,4.43,away_win
2016-09-11,Roma,Sampdoria,3,2,100,2,60,5,4.16,3.8,3.17,home_win
2016-09-11,Atalanta,Torino,2,1,85,2,100,2,1.88,4.11,3.66,home_win
2016-09-11,Pescara,Inter,1,2,30,1,85,1,3.11,3.93,2.49,away_win
2016-09-12,Empoli,Crotone,2,1,75,1,65,4,3.41,3.69,4.68,home_win
2016-09-16,Sampdoria,AC Milan,0,1,75,2,80,3,1.28,2.61,6.77,away_win
2016-09-17,Lazio,Pescara,3,0,95,2,30,2,3.47,3.41,4.27,home_win
2016-09-17,Napoli,Bologna,3,1,90,0,80,4,1.77,3.85,1.96,home_win
2016-09-18,Udinese,Chievo,1,2,100,3,75,4,1.35,3.86,4.91,away_win
2016-09-18,Sassuolo,Genoa,2,0,80,0,75,6,4.8,3.25,3.37,home_win
2016-09-18,Torino,Empoli,0,0,100,4,70,3,4.87,4.38,6.21,draw
2016-09-18,Cagliari,Atalanta,3,0,75,2,100,2,4.25,2.83,3.89,home_win
2016-09-18,Crotone,Palermo,1,1,65,3,35,2,2.29,3.5,2.56,draw
2016-09-18,Inter,Juventus,2,1,80,5,100,3,1.48,3.88,2.55,home_win
2016-09-18,Fiorentina,Roma,1,0,90,1,100,1,3.77,3.89,5.73,home_win
2016-09-20,AC Milan,Lazio,2,0,95,1,80,4,2.82,3.8,2.96,home_win
2016-09-21,Bologna,Sampdoria,2,0,95,4,60,6,1.58,3.05,5.72,home_win
2016-09-21,Chievo,Sassuolo,2,1,70,2,90,1,3.03,2.81,2.63,home_win
2016-09-21,Empoli,Inter,0,2,60,1,80,4,1.23,3.77,3.27,away_win
2016-09-21,Genoa,Napoli,0,0,75,4,90,2,4.65,3.7,4.06,draw
2016-09-21,Juventus,Cagliari,4,0,100,1,75,3,2.11,2.86,6.69,home_win
2016-09-21,Pescara,Torino,0,0,50,3,100,8,3.68,3.91,6.62,draw
2016-09-21,Roma,Crotone,4,0,85,0,75,1,2.32,3.41,2.64,home_win
2016-09-21,Udinese,Fiorentina,2,2,85,1,100,3,3.13,3.84,3.47,draw
2016-09-21,Atalanta,Palermo,0,1,90,3,30,2,3.23,4.17,2.32,away_win
2016-09-24,Palermo,Juventus,0,1,45,3,85,3,1.82,2.84,4.3,away_win
2016-09-24,Napoli,Chievo,2,0,85,2,75,4,4.88,2.54,4.03,home_win
2016-09-25,Torino,Roma,3,1,100,1,85,4,4.12,4.06,6.45,home_win
2016-09-25,Sassuolo,Udinese,1,0,95,3,95,2,4.76,3.72,6.62,home_win
2016-09-25,Genoa,Pescara,1,1,65,8,55,3,4.59,3.9,3.61,draw
2016-09-25,Inter,Bologna,1,1,85,0,90,4,3.43,4.18,4.2,draw
2016-09-25,Lazio,Empoli,2,0,100,2,75,2,4.7,4.11,6.43,home_win
2016-09-25,Fiorentina,AC Milan,0,0,85,2,80,4,1.45,4.42,5.94,draw
2016-09-26,Crotone,Atalanta,1,3,75,3,100,4,1.86,3.57,1.52,away_win
2016-09-26,Cagliari,Sampdoria,2,1,65,2,70,3,1.28,3.48,3.26,home_win
2016-10-01,Pescara,Chievo,0,2,35,1,60,3,2.37,3.3,3.82,away_win
2016-10-01,Udinese,Lazio,0,3,95,2,85,1,2.62,2.81,2.76,away_win
2016-10-02,Empoli,Juventus,0,3,75,2,100,1,2.16,3.65,2.6,away_win
2016-10-02,Sampdoria,Palermo,1,1,75,2,20,8,4.33,3.05,1.71,draw
2016-10-02,Atalanta,Napoli,1,0,95,3,85,3,2.49,4.34,5.04,home_win
2016-10-02,Bologna,Genoa,0,1,80,7,65,6,2.2,3.67,2.94,away_win
2016-10-02,Cagliari,Crotone,2,1,70,0,60,4,3.22,3.69,1.79,home_win
2016-10-02,Torino,Fiorentina,2,1,95,1,100,2,1.65,3.21,2.77,home_win
2016-10-02,AC Milan,Sassuolo,4,3,80,1,80,5,4.23,2.6,5.91,home_win
2016-10-02,Roma,Inter,2,1,95,1,100,2,1.39,2.56,6.18,home_win
2016-10-15,Napoli,Roma,1,3,95,2,80,3,4.95,3.35,4.16,away_win
2016-10-15,Pescara,Sampdoria,1,1,40,4,75,1,4.11,2.67,3.79,draw
2016-10-15,Juventus,Udinese,2,1,95,1,80,2,1.87,3.71,6.88,home_win
2016-10-16,Fiorentina,Atalanta,0,0,85,3,80,3,1.12,4.26,2.6,draw
2016-10-16,Genoa,Empoli,0,0,75,3,70,4,4.28,4.27,2.68,draw
2016-10-16,Inter,Cagliari,1,2,90,1,70,5,3.86,3.82,3.11,away_win
2016-10-16,Lazio,Bologna,1,1,100,4,95,3,3.94,2.92,2.45,draw
2016-10-16,Sassuolo,Crotone,2,1,100,1,70,3,4.11,4.23,3.59,home_win
2016-10-16,Chievo,AC Milan,1,3,75,3,85,2,1.39,4.27,6.51,away_win
2016-10-17,Palermo,Torino,1,4,30,4,100,2,2.5,2.89,4.88,away_win
2016-10-22,Sampdoria,Genoa,2,1,70,2,70,3,1.55,3.97,3.77,home_win
2016-10-22,AC Milan,Juventus,1,0,95,4,85,3,4.47,3.07,6.64,home_win
2016-10-23,Udinese,Pescara,3,1,85,2,40,1,3.53,4.11,1.77,home_win
2016-10-23,Torino,Lazio,2,2,100,2,80,2,2.39,4.49,2.66,draw
2016-10-23,Cagliari,Fiorentina,3,5,70,2,85,2,1.35,2.56,4.61,away_win
2016-10-23,Crotone,Napoli,1,2,60,2,80,3,2.31,4.29,4.89,away_win
2016-10-23,Empoli,Chievo,0,0,65,3,65,6,2.37,3.75,1.72,draw
2016-10-23,Atalanta,Inter,2,1,90,2,85,1,3.95,4.45,3.72,home_win
2016-10-23,Bologna,Sassuolo,1,1,80,0,90,1,3.59,3.43,5.07,draw
2016-10-23,Roma,Palermo,4,1,90,3,35,2,4.56,4.19,5.34,home_win
2016-10-25,Genoa,AC Milan,3,0,75,3,85,3,2.94,2.62,5.01,home_win
2016-10-26,Inter,Torino,2,1,85,0,80,4,1.57,3.17,3.26,home_win
2016-10-26,Juventus,Sampdoria,4,1,90,0,70,3,3.88,2.63,2.01,home_win
2016-10-26,Lazio,Cagliari,4,1,80,2,65,3,4.07,4.45,3.85,home_win
2016-10-26,Napoli,Empoli,2,0,85,1,70,2,3.29,4.13,2.21,home_win
2016-10-26,Chievo,Bologna,1,1,65,0,95,4,4.11,4.21,6.71,draw
2016-10-26,Fiorentina,Crotone,1,1,80,1,60,2,3.03,4.38,4.11,draw
2016-10-26,Pescara,Atalanta,0,1,55,3,90,3,3.14,2.67,3.24,away_win
2016-10-26,Sassuolo,Roma,1,3,95,3,100,0,2.77,3.27,5.71,away_win
2016-10-27,Palermo,Udinese,1,3,30,5,95,2,1.2,2.64,4.24,away_win
2016-10-29,Bologna,Fiorentina,0,1,85,6,100,3,1.52,2.92,3.21,away_win
2016-10-29,Juventus,Napoli,2,1,90,4,100,1,1.22,2.96,5.97,home_win
2016-10-30,Atalanta,Genoa,3,0,80,1,70,2,3.58,3.44,6.27,home_win
2016-10-30,Lazio,Sassuolo,2,1,100,2,90,1,2.33,3.04,5.2,home_win
2016-10-30,AC Milan,Pescara,1,0,80,1,30,2,3.08,2.7,1.76,home_win
2016-10-30,Crotone,Chievo,2,0,70,1,70,2,4.64,2.83,4.61,home_win
2016-10-30,Empoli,Roma,0,0,65,6,100,3,2.07,2.79,5.7,draw
2016-10-30,Sampdoria,Inter,1,0,70,1,80,3,2.7,4.45,2.25,home_win
2016-10-31,Udinese,Torino,2,2,90,2,90,3,4.05,4.02,2.76,draw
2016-11-01,Cagliari,Palermo,2,1,70,5,35,3,1.99,4.44,6.35,home_win
2016-11-05,Torino,Cagliari,5,1,100,1,70,5,1.4,3.38,1.61,home_win
2016-11-05,Napoli,Lazio,1,1,85,0,90,2,2.23,3.06,5.64,draw
2016-11-06,Pescara,Empoli,0,4,50,2,65,2,1.73,4.1,4.11,away_win
2016-11-06,Palermo,AC Milan,1,2,40,2,90,1,4.73,3.15,3.96,away_win
2016-11-06,Chievo,Juventus,1,2,70,5,100,4,4.25,3.1,1.54,away_win
2016-11-06,Genoa,Udinese,1,1,75,2,80,1,3.57,2.97,6.01,draw
2016-11-06,Sassuolo,Atalanta,0,3,80,4,90,2,4.5,2.76,3.48,away_win
2016-11-06,Inter,Crotone,3,0,95,1,60,2,4.23,3.01,4.47,home_win
2016-11-06,Fiorentina,Sampdoria,1,1,90,3,75,2,1.83,3.21,5.23,draw
2016-11-06,Roma,Bologna,3,0,95,1,95,0,4.58,3.85,5.36,home_win
2016-11-19,Chievo,Cagliari,1,0,60,3,60,3,3.2,2.63,6.76,home_win
2016-11-19,Udinese,Napoli,1,2,85,1,100,0,4.25,2.92,4.42,away_win
2016-11-19,Juventus,Pescara,3,0,100,0,55,2,4.59,4.12,3.7,home_win
2016-11-20,Sampdoria,Sassuolo,3,2,70,4,85,3,2.34,2.79,6.75,home_win
2016-11-20,Lazio,Genoa,3,1,85,1,75,6,1.53,3.19,5.03,home_win
2016-11-20,Crotone,Torino,0,2,65,1,95,1,1.99,4.23,3.14,away_win
2016-11-20,Empoli,Fiorentina,0,4,75,1,85,3,2.77,2.81,2.2,away_win
2016-11-20,Atalanta,Roma,2,1,90,1,100,2,4.29,2.67,6.13,home_win
2016-11-20,Bologna,Palermo,3,1,95,1,40,1,4.46,3.47,3.49,home_win
2016-11-20,AC Milan,Inter,2,2,80,2,95,4,1.13,3.1,5.13,draw
2016-11-26,Torino,Chievo,2,1,80,2,70,4,3.09,3.63,4.09,home_win
2016-11-26,Empoli,AC Milan,1,4,70,2,100,3,2.73,4.11,2.59,away_win
2016-11-27,Palermo,Lazio,0,1,45,6,85,1,1.97,2.77,4.81,away_win
2016-11-27,Cagliari,Udinese,2,1,65,4,100,3,1.57,3.66,1.83,home_win
2016-11-27,Crotone,Sampdoria,1,1,70,3,75,0,2.42,3.51,3.77,draw
2016-11-27,Genoa,Juventus,3,1,70,3,100,2,4.78,2.79,4.51,home_win
2016-11-27,Bologna,Atalanta,0,2,80,5,80,2,2.36,3.75,3.9,away_win
2016-11-27,Roma,Pescara,3,2,80,3,25,3,3.12,3.05,5.62,home_win
2016-11-28,Napoli,Sassuolo,1,1,90,3,85,4,3.84,3.48,6.05,draw
2016-11-29,Inter,Fiorentina,4,2,85,5,90,6,2.52,2.66,5.74,home_win
2016-12-02,Napoli,Inter,3,0,95,2,100,3,4.89,3.42,1.71,home_win
2016-12-03,Juventus,Atalanta,3,1,100,3,85,2,4.85,3.11,2.57,home_win
2016-12-04,AC Milan,Crotone,2,1,90,4,60,4,2.08,4.14,4.45,home_win
2016-12-04,Lazio,Roma,0,2,85,4,80,3,3.04,2.61,6.64,away_win
2016-12-04,Pescara,Cagliari,1,1,40,2,70,5,2.27,3.34,6.09,draw
2016-12-04,Sampdoria,Torino,2,0,70,1,95,4,2.21,3.42,6.13,home_win
2016-12-04,Sassuolo,Empoli,3,0,90,4,75,6,1.24,3.95,3.17,home_win
2016-12-04,Fiorentina,Palermo,2,1,95,2,30,2,3.48,3.65,3.86,home_win
2016-12-05,Chievo,Genoa,0,0,75,2,70,3,3.06,3.83,4.09,draw
2016-12-06,Udinese,Bologna,1,0,85,3,85,3,1.3,4.05,2.37,home_win
2016-12-10,Crotone,Pescara,2,1,65,4,45,6,2.19,4.22,1.67,home_win
2016-12-10,Sampdoria,Lazio,1,2,75,2,85,4,4.64,3.13,6.71,away_win
2016-12-11,Cagliari,Napoli,0,5,75,4,85,3,2.03,3.58,2.82,away_win
2016-12-11,Torino,Juventus,1,3,90,1,80,2,1.67,4.18,2.82,away_win
2016-12-11,Palermo,Chievo,0,2,45,1,70,1,3.01,4.48,1.96,away_win
2016-12-11,Atalanta,Udinese,1,3,85,1,90,2,4.94,4.28,6.61,away_win
2016-12-11,Bologna,Empoli,0,0,100,2,75,4,2.04,3.24,4.69,draw
2016-12-11,Inter,Genoa,2,0,95,1,70,2,3.72,2.89,5.17,home_win
2016-12-12,Fiorentina,Sassuolo,2,1,100,3,90,1,4.07,3.48,6.51,home_win
2016-12-13,Roma,AC Milan,1,0,85,1,80,2,2.03,3.98,3.4,home_win
2016-12-15,Genoa,Fiorentina,1,0,70,3,85,1,3.94,3.49,4.92,home_win
2016-12-17,Empoli,Cagliari,2,0,65,6,65,5,2.53,3.47,1.71,home_win
2016-12-17,AC Milan,Atalanta,0,0,80,3,80,6,3.57,4.18,2.53,draw
2016-12-17,Juventus,Roma,1,0,95,3,100,5,3.57,3.22,6.07,home_win
2016-12-18,Napoli,Torino,5,3,85,0,95,3,3.19,4.22,5.72,home_win
2016-12-18,Sassuolo,Inter,0,1,85,1,95,6,1.45,3.31,3.43,away_win
2016-12-18,Udinese,Crotone,2,0,95,0,75,7,4.36,3.16,3.57,home_win
2016-12-18,Pescara,Bologna,0,3,20,4,85,2,2.35,3.41,4.43,away_win
2016-12-18,Chievo,Sampdoria,2,1,60,1,65,2,1.83,4.02,1.5,home_win
2016-12-18,Lazio,Fiorentina,3,1,80,1,85,5,1.26,2.75,2.83,home_win
2016-12-18,Genoa,Palermo,3,4,60,6,35,5,3.4,2.89,2.65,away_win
2016-12-20,Atalanta,Empoli,2,1,90,3,75,4,3.74,4.4,2.88,home_win
2016-12-21,Inter,Lazio,3,0,95,2,95,2,1.16,2.85,5.93,home_win
2016-12-22,Roma,Chievo,3,1,95,0,65,2,3.1,3.64,3.04,home_win
2016-12-22,Sampdoria,Udinese,0,0,75,1,95,1,1.98,3.66,2.55,draw
2016-12-22,Torino,Genoa,1,0,80,2,60,4,3.62,3.48,4.27,home_win
2016-12-22,Palermo,Pescara,1,1,20,4,40,5,1.78,3.79,6.26,draw
2016-12-22,Cagliari,Sassuolo,4,3,65,3,95,6,3.79,2.96,2.83,home_win
2016-12-22,Fiorentina,Napoli,3,3,85,5,85,3,2.61,3.61,1.93,draw
2017-01-07,Empoli,Palermo,1,0,70,1,25,3,4.75,3.24,3.46,home_win
2017-01-07,Napoli,Sampdoria,2,1,95,1,60,3,1.64,3.82,5.61,home_win
